Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cote d'Ivoire,CIV,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3927E+12,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1959E+12,1.63224E+12,1.87392E+12,2.22677E+12,5.26398E+12,5.76376E+12,,,5.65291E+12,5.65616E+12,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11232E+12,,,,4346388992,,,,,,,,,,
Colombia,COL,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5916E+12,2.88964E+13,3.69288E+13,,,1.43078E+14,,,,,3.10928E+14,3.46081E+14,3.94186E+14,3.89119E+14,4.34747E+14,4.16532E+14
Comoros,COM,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.301E+11,8.855E+11,1.415E+12,1.6332E+12,1.7815E+12,2.0667E+12,,,,,,,,,,,,
Caribbean small states,CSS,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3782356982,4404755926,5080753234,5613645739,5717894812,,,,,,,,,,,,,,,,17888400000,20305160000,23208100000,26426240000
Czech Republic,CZE,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88727E+11,1.94159E+11,1.94897E+11,1.85323E+11,1.91387E+11,2.09844E+11,2.44058E+11,3.00028E+11,3.64209E+11,3.96056E+11,4.91056E+11,5.89009E+11,6.86575E+11,7.94836E+11,8.86098E+11,9.80389E+11,1.16046E+12,1.32671E+12,1.46259E+12,1.64993E+12,
Germany,DEU,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06335E+11,,,,,,,,,,,,,,,,,,,,1.38931E+12,1.44304E+12,1.52145E+12,1.47624E+12
Djibouti,DJI,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
