Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brunei Darussalam,BRN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079100000,1117300000,1182900000,1272000000,1653500000,1981100000,2616400000,2607700000,2675000000,3264600000,3786500000,4537400000,4827088000,5373245000,5409249000,7134193000,7849160000,9092154000,12352540000,14257030000,,,,,
Botswana,BWA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881680000,2219100000,2668000000,3289000000,3324900000,4016100000,4667300000,,,,,,,,,,16964100000,20206620000,26190570000,28362430000,28774120000,30778690000,33490950000,,
Central African Republic,CAF,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64826057946,,,,97850592085,1.54244E+11,1.73192E+11,1.54688E+11,1.04889E+11,,
Canada,CAN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77736E+11,1.82967E+11,1.87086E+11,1.87291E+11,1.94345E+11,1.90839E+11,1.84369E+11,1.89425E+11,1.98958E+11,2.07106E+11,2.13743E+11,2.13855E+11,2.25734E+11,2.29843E+11,2.52613E+11,2.53931E+11,2.66572E+11,2.8314E+11,2.96214E+11,3.13052E+11,3.19541E+11,3.18733E+11,3.25489E+11,3.29686E+11
Central Europe and the Baltics,CEB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,15623000000,19425000000,22159000000,25603000000,29076000000,30302000000,30984000000,32573000000,34209000000,35270000000,39080000000,41261000000,44321000000,,,,,,,77065000000,85087000000,91970000000,94014000000,96003000000,1.00725E+11,1.02861E+11,1.06717E+11,1.06734E+11,1.07684E+11,79991000000,83821862038,86615648050,88685155583,90017297437,90618904664,92999336566,94135377647,98100124898,1.00411E+11,1.01987E+11,1.01909E+11,1.09022E+11,
Channel Islands,CHI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,80000000,320000000,2310000000,10370000000,34640000000,81840000000,1.3648E+11,1.9601E+11,2.7415E+11,3.4256E+11,3.962E+11,4.6621E+11,5.7425E+11,7.3295E+11,8.761E+11,1.02984E+12,1.22821E+12,1.41285E+12,1.69828E+12,2.26308E+12,2.76547E+12,3.30715E+12,3.82821E+12,4.40742E+12,5.09829E+12,5.70298E+12,6.50152E+12,7.19774E+12,8.50155E+12,9.10775E+12,9.73065E+12,1.02286E+13,1.09963E+13,1.2013E+13,1.3229E+13,1.47993E+13,1.74208E+13,2.07011E+13,2.28631E+13,2.42966E+13,2.63328E+13,2.80667E+13,3.10628E+13
China,CHN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
