Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016*,2017*,2018*,2019*,2020*
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,17.75197298,17.85658035,17.84126677,19.42421295,19.68856836,19.56421795,19.08323577,18.88651187,20.50686374,20.97911027,22.45506789,22.77704221,21.45399316,22.13523993,22.17964317,21.30849611,20.96550128,20.80370922,21.49963819,22.82539982,21.75508415,21.35470592,20.67041514,20.46787212,19.93851758,19.31994078,18.66705511,18.04924816,17.86756915,19.43376204,19.99457254,20.5549981,20.33910097,20.64585741,20.52976323,20.85471833,22.88219069,25.677828,26.22545069,25.50614045,24.12449695,23.22368626,22.96912945,,,,,,
United States,USA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,2.28E+11,2.55E+11,2.76E+11,3.28E+11,3.70E+11,4.08E+11,4.50E+11,4.97E+11,5.87E+11,6.74E+11,7.51E+11,8.29E+11,8.67E+11,9.62E+11,1.02E+12,1.04E+12,1.10E+12,1.18E+12,1.29E+12,1.41E+12,1.42E+12,1.47E+12,1.51E+12,1.57E+12,1.62E+12,1.66E+12,1.70E+12,1.74E+12,1.84E+12,2.06E+12,2.19E+12,2.37E+12,2.50E+12,2.70E+12,2.84E+12,3.02E+12,3.37E+12,3.70E+12,3.92E+12,3.96E+12,3.90E+12,3.87E+12,3.98E+12,,,,,,
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1,3.206807257,3.295476728,5.263262776,5.643124848,-0.517154562,-0.197678537,5.386090051,4.608597407,5.561684929,3.17569075,-0.244596225,2.594470388,-1.910891068,4.632457181,7.259086959,4.238737521,3.511614499,3.461747692,4.203971979,3.680524033,1.919370297,-0.074084531,3.555396148,2.745856719,4.037643425,2.718975789,3.795881229,4.487026493,4.449910963,4.685199608,4.092176449,0.975981834,1.786127687,2.806775956,3.78574285,3.345216063,2.666625826,1.77857024,-0.291621459,-2.775529574,2.531920616,1.601454672,2.224030854,1.489524949,2.427795636,2.425970526,,,,,
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,5.43E+11,5.63E+11,6.05E+11,6.39E+11,6.86E+11,7.44E+11,8.15E+11,8.62E+11,9.43E+11,1.02E+12,1.08E+12,1.17E+12,1.28E+12,1.43E+12,1.55E+12,1.69E+12,1.88E+12,2.09E+12,2.36E+12,2.63E+12,2.86E+12,3.21E+12,3.34E+12,3.64E+12,4.04E+12,4.35E+12,4.59E+12,4.87E+12,5.25E+12,5.66E+12,5.98E+12,6.17E+12,6.54E+12,6.88E+12,7.31E+12,7.66E+12,8.10E+12,8.61E+12,9.09E+12,9.66E+12,1.03E+13,1.06E+13,1.10E+13,1.15E+13,1.23E+13,1.31E+13,1.39E+13,1.45E+13,1.47E+13,1.44E+13,1.50E+13,1.55E+13,1.62E+13,1.67E+13,1.73E+13,1.79E+13,,,,,
United States,USA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,11.78916277,11.46968007,11.81024325,11.15918251,10.72493578,11.59567027,11.51800646,11.98187181,12.11631071,12.53520758,11.9743222,10.33660909,10.15197146,10.36571366,10.13974474,10.91511939,10.56328174,10.7517322,10.43650324,10.29374107,9.955195503,10.27473433,10.59222809,10.94615648,11.33589154,11.78565641,12.29408456,12.22260591,12.9281339,11.81316881,9.824319058,9.342757633,9.492625945,10.63710207,11.27455707,11.2885012,10.30845227,7.935908958,8.610805719,9.589084263,9.821101555,10.59944812,10.93081153,,,,,,
United States,USA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,1.51E+11,1.64E+11,1.83E+11,1.88E+11,2.01E+11,2.42E+11,2.71E+11,3.15E+11,3.47E+11,4.03E+11,4.01E+11,3.76E+11,4.10E+11,4.51E+11,4.65E+11,5.32E+11,5.55E+11,6.08E+11,6.24E+11,6.36E+11,6.51E+11,7.07E+11,7.74E+11,8.39E+11,9.18E+11,1.01E+12,1.12E+12,1.18E+12,1.33E+12,1.25E+12,1.08E+12,1.08E+12,1.17E+12,1.39E+12,1.56E+12,1.63E+12,1.52E+12,1.14E+12,1.29E+12,1.49E+12,1.59E+12,1.77E+12,1.90E+12,,,,,,
