Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brunei Darussalam,BRN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231700000,281600000,328200000,447100000,503300000,649800000,844200000,868900000,1246390000,1265800000,1977100000,1916900000,2414588000,2713560000,2446597000,3014127000,3673222000,3718873000,4607218000,5654082000,,,,,
Botswana,BWA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939510000,2037100000,2435900000,2387500000,2277400000,2198700000,2407100000,,,,,,,,,,15919000000,17266840000,20454250000,20044980000,20504560000,24846060000,30045000000,,
Central African Republic,CAF,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41680154865,,,,73652850019,76892480359,89135596491,86631395622,1.04734E+11,,
Canada,CAN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00816E+11,1.02613E+11,1.01802E+11,1.03257E+11,1.10368E+11,1.19161E+11,1.31893E+11,1.37757E+11,1.47937E+11,1.64093E+11,1.62026E+11,1.59353E+11,1.65643E+11,1.7788E+11,1.88604E+11,1.9939E+11,2.09343E+11,2.04861E+11,1.92104E+11,1.96396E+11,2.07122E+11,2.14701E+11,2.21683E+11,2.33123E+11
Central Europe and the Baltics,CEB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,9561000000,10144000000,11269000000,11316000000,13155000000,12973000000,13819000000,13623000000,14976000000,16111000000,17753000000,18373000000,20042000000,20921000000,23780000000,23669000000,26300000000,26639000000,29161000000,29532000000,30745000000,28961000000,31832000000,32534000000,34529000000,35044000000,40152000000,39221000000,46795000000,43200000000,42982878781,43451221429,44943356977,47624987255,51015137309,53350389205,59502202325,57651086072,58397217001,60343080899,59306828628,60762567713,
Channel Islands,CHI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,40000000,210000000,1570000000,7710000000,24830000000,56410000000,94570000000,1.4575E+11,2.1569E+11,2.708E+11,2.5469E+11,3.0222E+11,3.8703E+11,5.1632E+11,6.5529E+11,8.2076E+11,9.1708E+11,1.11216E+12,1.34357E+12,2.01202E+12,2.62367E+12,3.25063E+12,3.74272E+12,4.4006E+12,5.20263E+12,5.67283E+12,5.95234E+12,5.80579E+12,6.78497E+12,7.226E+12,7.78402E+12,8.34129E+12,9.91871E+12,1.2407E+13,1.5999E+13,1.83736E+13,1.75618E+13,1.40419E+13,1.9354E+13,2.30091E+13,2.46833E+13,2.39725E+13,2.52176E+13
China,CHN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60518E+12,1.98751E+12,2.63918E+12,3.22483E+12,3.59302E+12,4.20858E+12,5.03203E+12,,,
Cote d'Ivoire,CIV,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.294E+11,,,,,1.0333E+12,,,,,,1.1741E+12,1.25933E+12,1.1901E+12,1.2414E+12,1.2512E+12,1.36434E+12,1.4682E+12,1.63301E+12,1.67356E+12,1.76558E+12,1.30925E+12,1.96823E+12,2.24623E+12,2.43994E+12
Cameroon,CMR,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2748E+11,2.9745E+11,3.1166E+11,3.0013E+11,2.9154E+11,3.8958E+11,,,6.4618E+11,6.9099E+11,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,17380000000,18690000000,35220000000,33500000000,,,,,91650000000,,,,,,,,,,,,1.141E+11,89200000000,81300000000,1.1875E+11,1.4467E+11,1.0328E+11,1.2539E+11,1.1263E+11,,1.88764E+11,1.76E+11,1.76823E+11,1.92762E+11,2.00448E+11,2.341E+11,2.65642E+11,3.1577E+11,3.80739E+11,4.5175E+11,,,,
Colombia,COL,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93077E+13,2.04263E+13,2.33967E+13,,,3.06629E+13,,,,,6.21022E+13,6.35756E+13,6.60607E+13,9.02281E+13,8.81588E+13,9.48539E+13,1.11303E+14
Comoros,COM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18165293152,22149540184,25500757750,28668926543,25029799147,,,,,
Costa Rica,CRI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,940000000,1270000000,1800000000,2090000000,2520000000,3240000000,3820000000,4110000000,4810000000,7070000000,12340000000,19680000000,23990000000,26270000000,32690000000,41070000000,51420000000,58370000000,68270000000,93270000000,1.3796E+11,1.6397E+11,1.9075E+11,2.5468E+11,3.0668E+11,3.7009E+11,4.5133E+11,5.3485E+11,5.941E+11,7.02E+11,7.9746E+11,9.354E+11,1.08877E+12,1.30587E+12,1.60748E+12,2.06342E+12,2.46903E+12,2.32367E+12,2.56486E+12,2.85625E+12,3.11288E+12,3.41632E+12,3.65294E+12
Caribbean small states,CSS,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,60330716.89,75537269.72,62056404.35,58792975.6,69147100.33,95647508.69,117517607.1,152800226.9,192098060.1,206450312.2,249387466.4,299210284.4,368630761,419290793.7,456828767.4,496741697.1,592918872.2,707873577.2,1345192949,1325867058,1636511781,1860073221,2217135114,2418525340,2432535872,2448938446,2835253232,3133745904,3764732416,4154122684,4349074109,4831754016,5168006780,5867508210,6646288747,8504221954,8753165184,4341900000,4486600000,4597100000,4526400000,4225100000,4280400000
Czech Republic,CZE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23364E+11,2.29361E+11,2.50581E+11,2.76676E+11,2.87777E+11,3.0618E+11,3.29896E+11,3.37908E+11,3.74278E+11,3.88357E+11,4.16097E+11,4.41837E+11,4.64318E+11,4.72269E+11,5.36808E+11,5.46974E+11,4.88183E+11,5.10721E+11,5.25606E+11,5.44375E+11,,
Germany,DEU,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,52709080033,59442794108,61718042979,61994140595,68052949387,74796889300,79797323898,85728309720,90815663938,93019331946,94369142512,98101573245,1.07525E+11,1.12433E+11,1.15445E+11,1.20312E+11,1.23508E+11,1.37855E+11,1.43903E+11,1.84424E+11,2.00058E+11,2.0066E+11,2.13652E+11,2.17459E+11,2.09449E+11,2.10461E+11,2.18287E+11,2.37036E+11,2.46863E+11,2.38151E+11,2.38205E+11,2.43241E+11,2.35897E+11,2.43864E+11,2.58821E+11,2.833E+11,2.91805E+11,2.8436E+11,2.86794E+11,3.09285E+11,3.18816E+11,3.25723E+11,3.36326E+11
Djibouti,DJI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182100000,162900000,162000000,179400000,205200000,229300000,247900000,285500000,307400000,320600000,327900000,311900000,302700000,,
Denmark,DNK,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,46832000000,53767000000,60605000000,62140000000,71369000000,80905000000,93657000000,1.05889E+11,1.14351E+11,1.23629E+11,1.36413E+11,1.54214E+11,1.77581E+11,2.02525E+11,2.33344E+11,2.41156E+11,2.52378E+11,2.57997E+11,2.54311E+11,2.59412E+11,2.7216E+11,2.86414E+11,3.13484E+11,3.28159E+11,3.46861E+11,3.63862E+11,3.8007E+11,3.96375E+11,4.19226E+11,4.13752E+11,4.24735E+11,4.33049E+11,4.71261E+11,5.24514E+11,5.35974E+11,6.10214E+11,6.0208E+11,5.71473E+11,5.92848E+11,6.0431E+11,6.27487E+11,6.62408E+11,
Dominican Republic,DOM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,275300000,315100000,421900000,578800000,524100000,575100000,537400000,606600000,696900000,734400000,659600000,779800000,1046100000,1521700000,2006000000,2519200000,3843800000,5250200000,6209500000,9378600000,15769300000,18239000000,19463900000,22642700000,24335100000,31986000000,36426900000,40412500000,47843000000,57177457517,63100647726,73831265378,1.17203E+11,1.48412E+11,1.7653E+11,2.17104E+11,2.35306E+11,2.19365E+11,2.42097E+11,2.71804E+11,3.10814E+11,3.53762E+11,
Algeria,DZA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98138E+11,5.69302E+11,7.866E+11,8.78778E+11,7.08384E+11,8.74888E+11,1.52274E+12,1.3546E+12,1.4258E+12,1.4487E+12,1.64821E+12,2.32648E+12,3.46445E+12,3.50088E+12,4.9976E+12,3.50305E+12,4.12543E+12,5.42487E+12,,,
East Asia & Pacific (excluding high income),EAP,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460000000,1842000000,3022000000,4172000000,5061000000,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12679000000,16580000000,25706000000,29122000000,33333000000,35951000000,40060000000,42450000000,,,,,50802000000,55736000000,67146000000,75759600000,97778900000,1.14326E+11,1.37195E+11,1.63223E+11,1.70494E+11,1.92072E+11,2.0741E+11,,
Euro area,EMU,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,2046446215,2566922698,2893873283,3469642879,4299039583,5381462383,7030038585,8371497602,9699133341,11217890928,11942110514,15676799731,17609053646,23253759331,30524803770,36819203539,40547882634,49364129194,51640763045,56866563293,62195737622,59770653781,64529467623,73073000000,77537000000,81171000000,87732000000,95711000000,1.04901E+11,1.1093E+11,1.12421E+11,1.1748E+11,1.28828E+11,1.45636E+11,1.62393E+11,1.80485E+11,1.47871E+11,1.18622E+11,1.40243E+11,1.33453E+11,1.40243E+11,1.33453E+11,1.27138E+11
Estonia,EST,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274426.031,6956650.558,14953265.44,26996999.9,34020170.52,51519179.89,52381987.14,57744174.45,56945278.85,62095279.49,69010519.86,79694630.14,90249638.9,103283141.4,111784668.9,139908350.7,169777459.6,156841742,153616121.1,148787596,164486214.3,184649061.1,196066238,
Ethiopia,ETH,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177300000,2076500000,1647000000,2230100000,3076400000,4039800000,4835100000,5873400000,6059600000,6295800000,,5541400000,6512103522,6746100000,8453800000,9360400000,10960800000,13539800000,19551500000,22242100000,31500800000,47435430000,,,
European Union,EUU,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,2237908549,2753740920,3366954100,4040714933,5113081152,5498736068,5628745335,6171824149,7222157750,8575565994,9486135428,10666646484,12155950573,13674687549,15030282236,15348493793,18558696745,21170655243,22210897569,21237594038,21097157119,19215134222,20970847987,20401660000,22367220000,25060900000,27358350000,28412780000,33074700000,31658730000,33360200000,33473000000,34629000000,35890000000,37035000000,39407000000,39807000000,34319000000,34997000000,39635000000,40480000000,42179000000,42635000000
Fiji,FJI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450590000,446620000,497320000,539870000,574450000,615310000,633520000,,,,,,,,1048871000,1085415000,1245483074,,,,,,,,
France,FRA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,29224476604,32029538522,39514785268,41801520526,51360073907,55964034228,63647464697,74989671579,87155103155,98771718268,1.14855E+11,1.26487E+11,1.38347E+11,1.48897E+11,1.60148E+11,1.70089E+11,1.77756E+11,1.88516E+11,1.97374E+11,2.06531E+11,2.08855E+11,2.09968E+11,2.25167E+11,2.36456E+11,2.54512E+11,2.71976E+11,3.10691E+11,3.30343E+11,3.45296E+11,3.59128E+11,3.57935E+11,3.60218E+11,3.77368E+11,3.93677E+11,4.17121E+11,4.29944E+11,4.39006E+11,4.01002E+11,4.38005E+11,4.49398E+11,4.71098E+11,4.9208E+11,4.9725E+11
Faroe Islands,FRO,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,15665000000,16561000000,20940000000,26516000000,30810000000,35179000000,38806000000,45405000000,58042000000,66301000000,76257000000,79615000000,85965000000,95822000000,1.00529E+11,1.05596E+11,1.17637E+11,1.28951E+11,1.48693E+11,1.61001E+11,1.63205E+11,1.62645E+11,1.77335E+11,1.97897E+11,2.0989E+11,2.25451E+11,2.48507E+11,2.64313E+11,2.81995E+11,2.91972E+11,2.94071E+11,3.05932E+11,3.25859E+11,3.48258E+11,3.77896E+11,3.94723E+11,4.22762E+11,3.69551E+11,3.99941E+11,4.24209E+11,4.24222E+11,4.39918E+11,4.55164E+11
Georgia,GEO,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379600000,363700000,448000000,462400000,490700000,567900000,602300000,975300000,1407300000,2130300000,3010500000,4541600000,4161700000,4592400000,5802000000,6311100000,,
Ghana,GHA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21967700,31945300,30183200,50915200,,,,,,,,654546800,854748400,1222441216,1737730248,2073746956,2395621821,3213370743,4193608293,4615857209,6164294730,8892168867,,,
Gibraltar,GIB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63842E+11,5.3445E+11,,,,,,,,,,,,,,,
"Gambia, The",GMB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454810000,,,,,,,,,,,,,,,,,,,,,,,,
